method,n,parse_fail_%,macroF1,acc,rec_literal,rec_figur,F1_bn,F1_de,F1_en,F1_id,F1_ru,F1_zh
MethodA_LaBSE_LogReg,427,0.0,0.826,0.834,0.801,0.854,0.843,0.836,0.771,0.73,0.813,0.879
qwen2.5_7b_native_only_zero-shot,427,0.0,0.518,0.637,0.181,0.927,0.443,0.632,0.5,0.488,0.451,0.366
aya-expanse_8b_native_only_zero-shot,427,0.0,0.491,0.492,0.596,0.425,0.278,0.462,0.653,0.395,0.462,0.548
DUMMY stratified,427,0.0,0.471,0.494,0.367,0.575,0.424,0.448,0.464,0.507,0.508,0.427
gemma2_9b_native_only_zero-shot,427,0.0,0.403,0.616,0.024,0.992,0.443,0.356,0.449,0.438,0.366,0.302
llama3.1_native_only_zero-shot,427,0.0,0.379,0.611,0.0,1.0,0.443,0.356,0.352,0.438,0.366,0.302
DUMMY most-frequent,427,0.0,0.379,0.611,0.0,1.0,0.443,0.356,0.352,0.438,0.366,0.302
